time,gs0,gs1,gs2,
0,858,854,858,
1,839,840,839,
2,872,873,872,
3,864,863,865,
4,854,853,858,
5,852,851,853,
6,855,853,855,
7,858,853,852,
8,855,857,857,
9,858,854,856,
10,857,858,860,
11,861,859,858,
12,856,859,858,
13,859,859,853,
14,856,857,856,
15,857,853,848,
16,857,851,851,
17,851,849,851,
18,854,850,857,
19,849,851,851,
20,856,854,853,
21,857,856,856,
22,857,855,855,
23,853,857,855,
24,859,856,855,
25,858,862,855,
26,859,857,859,
27,835,839,838,
28,300,298,299,
29,343,343,341,
30,300,301,298,
31,300,299,299,
32,301,301,297,
33,299,299,299,
34,301,301,302,
35,518,516,513,
36,698,698,695,
37,859,859,857,
38,857,856,858,
39,858,855,856,
40,854,860,851,
41,854,858,854,
42,851,854,850,
43,856,852,852,
44,851,853,853,
45,853,853,851,
46,853,853,851,
47,856,854,857,
48,857,858,850,
49,856,859,855,
50,853,861,855,
51,858,853,854,
52,856,854,855,
53,855,857,856,
54,851,858,852,
55,853,850,853,
56,853,854,851,
57,852,854,850,
58,852,849,854,
59,854,854,851,
60,855,852,852,
61,858,857,856,
62,857,854,859,
63,860,859,854,
64,855,853,854,
65,861,858,855,
66,855,855,851,
67,856,858,857,
68,854,856,853,
69,851,849,853,
70,857,851,852,
71,854,851,853,
72,850,853,853,
73,853,855,854,
74,851,854,857,
75,855,857,856,
76,857,857,853,
77,854,855,856,
78,857,855,857,
79,854,854,855,
80,858,857,852,
81,851,853,850,
82,851,855,853,
83,851,851,302,
84,851,852,299,
85,855,856,300,
86,851,300,302,
87,852,299,298,
88,854,299,299,
89,856,298,298,
90,301,302,299,
91,301,300,301,
92,297,299,299,
93,297,300,299,
94,299,300,299,
95,299,300,301,
96,303,299,302,
97,297,302,300,
98,298,300,297,
99,300,302,300,
100,299,299,301,
101,299,298,298,
102,299,300,299,
103,300,300,299,
104,299,298,299,
105,299,299,854,
106,299,298,859,
107,301,297,854,
108,299,853,854,
109,302,850,854,
110,299,851,852,
111,300,855,851,
112,855,854,854,
113,852,851,853,
114,853,859,854,
115,860,856,855,
116,858,856,857,
117,854,860,856,
118,860,854,860,
119,855,853,857,
120,850,854,852,
121,850,851,853,
122,852,851,850,
123,851,850,852,
124,856,856,852,
125,856,853,851,
126,853,850,857,
127,854,855,855,
128,853,855,855,
129,855,857,858,
130,857,858,855,
131,854,854,856,
132,857,858,854,
133,853,852,851,
134,852,854,853,
135,853,851,851,
136,853,852,855,
137,855,852,852,
138,852,854,850,
139,854,855,851,
140,858,852,856,
141,858,855,858,
142,860,859,857,
143,857,856,859,
144,855,856,858,
145,858,857,855,
146,852,855,856,
147,852,854,851,
148,853,857,850,
149,851,851,854,
150,852,854,848,
151,851,856,854,
152,856,855,855,
153,857,852,853,
154,855,856,857,
155,857,857,857,
156,860,854,858,
157,858,858,855,
158,853,857,857,
159,856,852,852,
160,853,854,852,
161,855,855,852,
162,852,853,853,
163,855,851,856,
164,854,853,852,
165,853,853,853,
166,856,856,855,
167,858,857,850,
168,855,855,857,
169,857,855,856,
170,854,854,858,
171,852,856,855,
172,851,859,857,
173,856,848,855,
174,852,857,853,
175,849,852,856,
176,854,852,853,
177,855,853,854,
178,852,853,853,
179,805,802,802,
180,513,513,512,
181,515,517,514,
182,299,300,301,
183,300,299,298,
184,302,300,301,
185,298,299,298,
186,299,301,300,
187,299,298,300,
188,300,297,300,
189,645,576,482,
190,735,707,686,
191,857,852,853,
192,852,853,849,
193,856,857,850,
194,859,857,854,
195,858,856,854,
196,855,855,858,
197,855,859,854,
198,849,851,856,
199,854,851,854,
